tic,datafqtr,cshoq,cshtrq,capxy,niq,xoprq,teqq,atq,epsfiq,cogsq,Debt_to_TA,NI_to_Asset,ROA,Revenue_growth,NI_growth,Current_ratio,MVA,CFROI,EBITDA_growth,EBITDA_margin,conm,EBITDA,SALE PRICE,Real GDP SA(billion),M2 SA(billion),M2-M1 Growth Gap(%),M2V,Prime Rate(%)
NLP,2010Q1,10.666,263614.0,0.0,-2.568,11.45,63.433,309.571,-0.23,11.45,-0.20167586757157485,-0.008295350662691272,,-0.4534502156384774,-1.6567774936061381,,-245.5828,,0.0,,NTS REALTY HOLDINGS LP,-0.002,596771.8953879483,16582.71,8509.766666666668,,1.735,3.25
NLP,2010Q2,10.666,235341.0,0.0,-2.608,12.143,59.999,304.493,-0.23,12.143,-0.19376143293934509,-0.008494228614606946,-0.008494228614606946,0.015181404923235275,0.015576323987539054,,-257.35269999999997,,0.0,,NTS REALTY HOLDINGS LP,-0.001,623600.6730619653,16743.162,8597.6,-0.0354053137646248,1.742,3.25
NLP,2010Q3,10.666,159175.0,0.0,-3.197,11.95,55.925,299.536,-0.28,11.95,-0.18336694086854333,-0.010498029772329246,-0.010585584466970957,0.038019601216627175,0.22584355828220848,,-254.15290000000002,,0.0,,NTS REALTY HOLDINGS LP,-0.006,645188.8766856759,16872.266,8682.300000000001,-0.9250870374598152,1.744,3.25
NLP,2010Q4,10.666,163338.0,0.0,-3.023,11.716,52.167,328.566,-0.26,11.716,-0.15572822507502299,-0.009734608739894669,-0.00962582510483966,0.0058603288295622225,-0.05442602439787303,,-228.8967,,0.0,,NTS REALTY HOLDINGS LP,-0.003,956586.9998710509,16960.864,8793.633333333333,-2.661273632986383,1.741,3.25
NLP,2011Q1,10.666,177414.0,0.0,-3.392,12.967,48.098,325.605,-0.3,12.967,-0.14464765590208994,-0.010417530443328571,-0.010370377164380567,0.08779737821653977,0.12206417466093278,,-281.8112,,0.0,,NTS REALTY HOLDINGS LP,-0.006,607552.9614517713,16920.632,8907.066666666668,-1.784149469337759,1.724,3.25
NLP,2011Q2,10.381,153355.0,0.0,-2.664,12.689,47.267,323.247,-0.23,12.689,-0.14313203216116469,-0.008211425718037395,-0.008211425718037395,0.024101762999330534,-0.2146226415094339,,-280.24240000000003,,0.0,,NTS REALTY HOLDINGS LP,-0.24,838158.6634436401,17035.114,9103.266666666668,-1.1662795390406933,1.709,3.25
NLP,2011Q3,10.381,154830.0,0.0,-3.357,13.62,42.911,321.197,-0.31,13.62,-0.1304837840951192,-0.01038194977779473,-0.010418283047091758,0.018813103798939412,0.2601351351351351,,-271.1761,,0.0,,NTS REALTY HOLDINGS LP,-0.774,914435.7203404065,17031.313,9469.7,-3.375601293609054,1.652,3.25
NLP,2011Q4,10.381,141408.0,0.0,-2.623,13.099,39.412,314.381,-0.24,13.099,-0.12218295634914325,-0.008168603972189999,-0.008253904320162122,0.011264793954085306,-0.21864760202561806,,-261.9629,,0.0,,NTS REALTY HOLDINGS LP,-0.966,805666.7484053862,17222.583,9628.433333333332,-2.2522677261722857,1.645,3.25
NLP,2012Q1,10.381,133364.0,0.0,-2.727,12.982,35.81,310.365,-0.24,12.982,-0.11215826526831311,-0.008786428882122662,-0.008729947850806568,-0.008671742808798566,0.03964925657643903,,-263.54249999999996,,0.0,,NTS REALTY HOLDINGS LP,-0.277,714142.7318070319,17367.01,9799.633333333331,-0.7002381344801467,1.64,3.25
NLP,2012Q2,10.381,133705.0,0.0,-2.866,13.215,31.936,308.529,-0.26,13.215,-0.10026934259016171,-0.009261682937627445,-0.009261682937627445,0.018064149064789037,0.05097176384305113,,-264.6289,,0.0,,NTS REALTY HOLDINGS LP,-0.418,812505.4801493215,17444.525,9951.933333333332,-0.4363072787925137,1.629,3.25
