tic,datafqtr,cshoq,cshtrq,capxy,oiadpq,niq,xoprq,teqq,atq,epsfiq,cshoq,cshtrq,capxy,oiadpq,niq,xoprq,teqq,atq,epsfiq,gmrmexpq,gmrmrevq,hbinvfhq,hbinvludq,hbinvtq,hbloq,conm,revtq,sentiment_x,sentiment_y,SALE PRICE,Real GDP SA(billion),M2 SA(billion),M2-M1 Growth Gap(%),M2V,Prime Rate(%)
NLP,2010Q1,10.666,-2.568,10.666,11.45,263614.0,11.45,263614.0,63.433,0.0,63.433,0.0,309.571,0.209,309.571,0.209,-0.23,-2.568,-0.23,10.666,-2.568,10.666,11.45,263614.0,11.45,263614.0,63.433,0.0,63.433,0.0,309.571,0.209,309.571,0.209,-0.23
NLP,2010Q2,10.666,-2.608,10.666,12.143,235341.0,12.143,235341.0,59.999,0.0,59.999,0.0,304.493,-0.307,304.493,-0.307,-0.23,-2.608,-0.23,10.666,-2.608,10.666,12.143,235341.0,12.143,235341.0,59.999,0.0,59.999,0.0,304.493,-0.307,304.493,-0.307,-0.23
NLP,2010Q3,10.666,-3.197,10.666,11.95,159175.0,11.95,159175.0,55.925,0.0,55.925,0.0,299.536,0.336,299.536,0.336,-0.28,-3.197,-0.28,10.666,-3.197,10.666,11.95,159175.0,11.95,159175.0,55.925,0.0,55.925,0.0,299.536,0.336,299.536,0.336,-0.28
NLP,2010Q4,10.666,-3.023,10.666,11.716,163338.0,11.716,163338.0,52.167,0.0,52.167,0.0,328.566,0.642,328.566,0.642,-0.26,-3.023,-0.26,10.666,-3.023,10.666,11.716,163338.0,11.716,163338.0,52.167,0.0,52.167,0.0,328.566,0.642,328.566,0.642,-0.26
NLP,2011Q1,10.666,-3.392,10.666,12.967,177414.0,12.967,177414.0,48.098,0.0,48.098,0.0,325.605,0.476,325.605,0.476,-0.3,-3.392,-0.3,10.666,-3.392,10.666,12.967,177414.0,12.967,177414.0,48.098,0.0,48.098,0.0,325.605,0.476,325.605,0.476,-0.3
NLP,2011Q2,10.381,-2.664,10.381,12.689,153355.0,12.689,153355.0,47.267,0.0,47.267,0.0,323.247,1.078,323.247,1.078,-0.23,-2.664,-0.23,10.381,-2.664,10.381,12.689,153355.0,12.689,153355.0,47.267,0.0,47.267,0.0,323.247,1.078,323.247,1.078,-0.23
NLP,2011Q3,10.381,-3.357,10.381,13.62,154830.0,13.62,154830.0,42.911,0.0,42.911,0.0,321.197,0.406,321.197,0.406,-0.31,-3.357,-0.31,10.381,-3.357,10.381,13.62,154830.0,13.62,154830.0,42.911,0.0,42.911,0.0,321.197,0.406,321.197,0.406,-0.31
NLP,2011Q4,10.381,-2.623,10.381,13.099,141408.0,13.099,141408.0,39.412,0.0,39.412,0.0,314.381,1.085,314.381,1.085,-0.24,-2.623,-0.24,10.381,-2.623,10.381,13.099,141408.0,13.099,141408.0,39.412,0.0,39.412,0.0,314.381,1.085,314.381,1.085,-0.24
NLP,2012Q1,10.381,-2.727,10.381,12.982,133364.0,12.982,133364.0,35.81,0.0,35.81,0.0,310.365,1.079,310.365,1.079,-0.24,-2.727,-0.24,10.381,-2.727,10.381,12.982,133364.0,12.982,133364.0,35.81,0.0,35.81,0.0,310.365,1.079,310.365,1.079,-0.24
NLP,2012Q2,10.381,-2.866,10.381,13.215,133705.0,13.215,133705.0,31.936,0.0,31.936,0.0,308.529,1.1,308.529,1.1,-0.26,-2.866,-0.26,10.381,-2.866,10.381,13.215,133705.0,13.215,133705.0,31.936,0.0,31.936,0.0,308.529,1.1,308.529,1.1,-0.26
NLP,2012Q3,10.381,-3.062,10.381,13.816,227039.0,13.816,227039.0,28.086,0.0,28.086,0.0,305.672,0.723,305.672,0.723,-0.28,-3.062,-0.28,10.381,-3.062,10.381,13.816,227039.0,13.816,227039.0,28.086,0.0,28.086,0.0,305.672,0.723,305.672,0.723,-0.28
NLP,2012Q4,10.381,-3.368,10.381,14.251,342264.0,14.251,342264.0,23.83,0.0,23.83,0.0,301.564,0.2,301.564,0.2,-0.29,-3.368,-0.29,10.381,-3.368,10.381,14.251,342264.0,14.251,342264.0,23.83,0.0,23.83,0.0,301.564,0.2,301.564,0.2,-0.29
NLP,2013Q1,10.381,0.339,10.381,13.111,350642.0,13.111,350642.0,23.333,0.0,23.333,0.0,296.214,2.964,296.214,2.964,0.03,0.339,0.03,10.381,0.339,10.381,13.111,350642.0,13.111,350642.0,23.333,0.0,23.333,0.0,296.214,2.964,296.214,2.964,0.03
NLP,2013Q2,10.381,-2.064,10.381,13.273,228622.0,13.273,228622.0,20.459,0.0,20.459,0.0,293.529,1.437,293.529,1.437,-0.19,-2.064,-0.19,10.381,-2.064,10.381,13.273,228622.0,13.273,228622.0,20.459,0.0,20.459,0.0,293.529,1.437,293.529,1.437,-0.19
NLP,2013Q4,10.381,-2.042,10.381,13.356,1451217.0,13.356,1451217.0,14.668,0.0,14.668,0.0,282.585,-0.009,282.585,-0.009,-0.2,-2.042,-0.2,10.381,-2.042,10.381,13.356,1451217.0,13.356,1451217.0,14.668,0.0,14.668,0.0,282.585,-0.009,282.585,-0.009,-0.2
NLP,2014Q1,10.381,-1.714,10.381,13.204,985313.0,13.204,985313.0,12.744,0.0,12.744,0.0,279.937,1.786,279.937,1.786,-0.15,-1.714,-0.15,10.381,-1.714,10.381,13.204,985313.0,13.204,985313.0,12.744,0.0,12.744,0.0,279.937,1.786,279.937,1.786,-0.15
NMRK,2015Q4,,-2.803,,1142.439,,1142.439,,804.034,12.133,804.034,12.133,1657.93,-8.982,1657.93,-8.982,-0.02,-2.803,-0.02,,-2.803,,1142.439,,1142.439,,804.034,12.133,804.034,12.133,1657.93,-8.982,1657.93,-8.982,-0.02
NMRK,2016Q1,,-2.803,,1142.439,,1142.439,,804.034,12.133,804.034,12.133,1657.93,-8.982,1657.93,-8.982,-0.02,-2.803,-0.02,,-2.803,,1142.439,,1142.439,,804.034,12.133,804.034,12.133,1657.93,-8.982,1657.93,-8.982,-0.02
NMRK,2016Q2,,-2.803,,1142.439,,1142.439,,804.034,12.133,804.034,12.133,1657.93,-8.982,1657.93,-8.982,-0.02,-2.803,-0.02,,-2.803,,1142.439,,1142.439,,804.034,12.133,804.034,12.133,1657.93,-8.982,1657.93,-8.982,-0.02
