Date,Real GDP SA(billion),M2 SA(billion),M2-M1 Growth Gap(%),M2V,Prime Rate(%)
2010Q1,16582.71,8509.766666666668,,1.735,3.25
2010Q2,16743.162,8597.6,-0.03540531376462486,1.742,3.25
2010Q3,16872.266,8682.300000000001,-0.9250870374598152,1.744,3.25
2010Q4,16960.864,8793.633333333333,-2.661273632986383,1.741,3.25
2011Q1,16920.632,8907.066666666668,-1.784149469337759,1.724,3.25
2011Q2,17035.114,9103.266666666668,-1.1662795390406933,1.709,3.25
2011Q3,17031.313,9469.699999999999,-3.375601293609054,1.652,3.25
2011Q4,17222.583,9628.433333333332,-2.2522677261722857,1.645,3.25
2012Q1,17367.01,9799.633333333333,-0.7002381344801467,1.64,3.25
2012Q2,17444.525,9951.933333333332,-0.43630727879251374,1.629,3.25
2012Q3,17469.65,10139.566666666668,-2.3531693789299757,1.609,3.25
2012Q4,17489.852,10369.666666666666,-1.5049256914316578,1.584,3.25
2013Q1,17662.4,10529.033333333333,0.17247296996067973,1.581,3.25
2013Q2,17709.671,10642.466666666667,-0.6405504165002629,1.572,3.25
2013Q3,17860.45,10790.366666666667,-0.3283019090282391,1.571,3.25
2013Q4,18016.147,11001.633333333333,-1.4943082194357693,1.563,3.25
2014Q1,17953.974,11173.300000000001,-1.5790229274862178,1.539,3.25
2014Q2,18185.911,11325.4,-0.8733900519600324,1.547,3.25
2014Q3,18406.941,11468.199999999999,-0.03795821447618586,1.552,3.25
2014Q4,18500.031,11632.533333333333,-1.3824430412962885,1.54,3.25
2015Q1,18666.621,11866.033333333333,-0.945337215166675,1.522,3.25
2015Q2,18782.243,11969.4,0.7174732932022865,1.527,3.25
2015Q3,18857.418,12099.233333333332,0.06645749361391395,1.521,3.25
2015Q4,18892.206,12290.766666666668,0.35714722471145155,1.5,3.2903225806451615
2016Q1,19001.69,12571.066666666666,0.01179957610750737,1.474,3.5
2016Q2,19062.709,12772.800000000001,-1.285503976388025,1.465,3.5
2016Q3,19197.938,12965.933333333334,-0.4828910554881549,1.457,3.5
2016Q4,19304.352,13171.533333333333,0.04606350630258493,1.449,3.5450819672131146
2017Q1,19398.343,13365.566666666666,-0.9240006500278453,1.443,3.7983870967741935
2017Q2,19506.949000000004,13526.633333333333,-1.0648065244442728,1.437,4.046153846153846
2017Q3,19660.766,13671.0,-0.7797765188628958,1.44,4.25
2017Q4,19882.352,13823.666666666666,-0.25630858660434797,1.449,4.294354838709677
2018Q1,20044.077,13926.166666666666,-0.2669601281311662,1.46,4.528225806451613
2018Q2,20150.476,14051.133333333333,0.6434192116512083,1.465,4.796875
2018Q3,20276.154,14189.133333333333,0.20768205025778474,1.466,5.007936507936508
2018Q4,20304.874,14294.933333333334,-0.34471573137939693,1.463,5.278225806451613
2019Q1,20431.641,14484.5,0.6678631100625054,1.458,5.5
2019Q2,20602.275,14659.433333333334,-0.1819015127323853,1.46,5.5
2019Q3,20843.322,14939.866666666667,0.22692609041270462,1.454,5.3076923076923075
2019Q4,20985.448,15264.066666666666,-0.14735150652975815,1.437,4.834677419354839
2020Q1,20693.238,15625.866666666667,-0.8632501803911286,1.39,4.395161290322581
2020Q2,19056.617,17666.766666666666,-193.6383215226967,1.128,3.25
2020Q3,20548.793,18419.63333333333,-30.880825336942586,1.177,3.25
2020Q4,20771.691,18954.533333333333,-1.045805448183712,1.164,3.25
2021Q1,21058.379,19593.266666666666,-0.8694004364182328,1.156,3.25
2021Q2,21389.005,20354.100000000002,-0.6531105624953293,1.148,3.25
2021Q3,21571.421,20806.100000000002,-0.38765016044790546,1.15,3.25
2021Q4,21960.388,21310.166666666668,-0.3513741780035273,1.163,3.25
2022Q1,21903.85,21663.633333333335,-0.2575648638018624,1.164,3.2943548387096775
2022Q2,21919.222,21694.0,-0.09380196133146335,1.19,3.9285714285714284
2022Q3,22066.784,21589.63333333333,0.714614468406316,1.217,5.373076923076923
2022Q4,22249.459,21333.966666666664,1.3652773302294197,1.253,6.819672131147541
2023Q1,22403.435,21088.666666666668,1.9455509463096932,1.288,7.693548387096774
2023Q2,22539.418,20771.3,2.3672388293513036,1.322,8.158730158730158
2023Q3,22780.933000000005,20746.399999999998,1.5098286246508885,1.348,8.432539682539682
2023Q4,22960.6,20695.166666666668,1.2102770628190096,1.367,8.5
2024Q1,23053.545,20845.466666666664,0.703434760244237,1.373,8.5
2024Q2,23223.906,20998.5,0.5343483638902136,1.382,8.5
2024Q3,23400.294,21185.36666666667,0.3919033201033928,1.387,8.4375
2024Q4,23542.349,21426.7,-0.05620895496492029,1.387,7.823076923076923
