observation_date,M2V
2010-01-01,1.735
2010-04-01,1.742
2010-07-01,1.744
2010-10-01,1.741
2011-01-01,1.724
2011-04-01,1.709
2011-07-01,1.652
2011-10-01,1.645
2012-01-01,1.640
2012-04-01,1.629
2012-07-01,1.609
2012-10-01,1.584
2013-01-01,1.581
2013-04-01,1.572
2013-07-01,1.571
2013-10-01,1.563
2014-01-01,1.539
2014-04-01,1.547
2014-07-01,1.552
2014-10-01,1.540
2015-01-01,1.522
2015-04-01,1.527
2015-07-01,1.521
2015-10-01,1.500
2016-01-01,1.474
2016-04-01,1.465
2016-07-01,1.457
2016-10-01,1.449
2017-01-01,1.443
2017-04-01,1.437
2017-07-01,1.440
2017-10-01,1.449
2018-01-01,1.460
2018-04-01,1.465
2018-07-01,1.466
2018-10-01,1.463
2019-01-01,1.458
2019-04-01,1.460
2019-07-01,1.454
2019-10-01,1.437
2020-01-01,1.390
2020-04-01,1.128
2020-07-01,1.177
2020-10-01,1.164
2021-01-01,1.156
2021-04-01,1.148
2021-07-01,1.150
2021-10-01,1.163
2022-01-01,1.164
2022-04-01,1.190
2022-07-01,1.217
2022-10-01,1.253
2023-01-01,1.288
2023-04-01,1.322
2023-07-01,1.348
2023-10-01,1.367
2024-01-01,1.373
2024-04-01,1.382
2024-07-01,1.387
2024-10-01,1.387
